timestamp,packets,bytes,throughput_mbps,packet_rate,active_devices,dropped_packets,retries,send_errors,burst_active,temp_sensors,meter_sensors,alarm_sensors,tracker_sensors
1775206893.5160666,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1775206894.5160666,4919,448416,3.587328,4919.0,4919,0,105,0,0,2279,1535,0,1105
1775206895.5160666,4982,447104,3.576832,4982.0,4982,0,104,0,0,2389,1415,0,1178
1775206896.5160666,4885,439840,3.51872,4885.0,4885,0,113,0,0,2333,1423,0,1129
1775206897.5160666,4937,443968,3.551744,4937.0,4937,0,104,0,0,2362,1425,0,1150
1775206898.5160666,5045,454784,3.638272,5045.0,5045,0,90,0,0,2401,1478,0,1166
1775206899.5160666,5021,455200,3.6416,5021.0,5021,0,110,0,0,2342,1504,0,1175
1775206900.5160666,5111,462208,3.697664,5111.0,5111,0,124,0,0,2367,1478,0,1266
1775206901.5160666,4989,453696,3.629568,4989.0,4989,0,89,0,0,2326,1537,0,1126
1775206902.5160666,5082,461760,3.69408,5082.0,5082,0,112,0,0,2331,1515,0,1236
1775206903.5160666,5204,470016,3.760128,5204.0,5204,0,104,0,0,2457,1533,0,1214
1775206904.5160666,216,19424,0.155392,216.0,216,0,3,0,0,103,62,0,51
1775206905.5160666,200,17920,0.14336,200.0,200,0,6,0,0,95,55,0,50
1775206906.5160666,190,17248,0.137984,190.0,190,0,3,0,0,89,58,0,43
1775206907.5160666,194,17056,0.136448,194.0,194,0,8,0,0,98,49,0,47
1775206908.5160666,7711,378944,3.031552,7711.0,7711,0,156,0,1,108,67,7500,36
1775206909.5160666,2739,140960,1.12768,2739.0,2739,0,52,0,1,98,66,2520,55
1775206910.5160666,7677,375664,3.005312,7677.0,7677,1,143,0,1,95,52,7499,31
1775206911.5160666,2704,137216,1.097728,2704.0,2704,2,50,0,1,94,47,2518,45
1775206912.5160666,7678,376128,3.009024,7678.0,7678,0,142,0,1,83,53,7500,42
1775206913.5160666,2722,140000,1.12,2722.0,2722,0,49,0,1,81,70,2520,51
1775206914.5160666,7702,378240,3.02592,7702.0,7702,0,111,0,1,97,61,7500,44
1775206915.5160666,2705,137760,1.10208,2705.0,2705,0,63,0,1,85,55,2520,45
1775206916.5160666,7703,378752,3.030016,7703.0,7703,0,163,0,1,91,68,7500,44
1775206917.5160666,2734,140608,1.124864,2734.0,2734,0,59,0,1,97,69,2520,48
1775206918.5160666,7691,376416,3.011328,7691.0,7691,0,149,0,1,105,45,7500,41
1775206919.5160666,2716,138912,1.111296,2716.0,2716,0,45,0,1,95,68,2520,33
1775206920.5160666,7912,391520,3.13216,7912.0,7912,0,157,0,1,307,56,7500,49
1775206921.5160666,3126,164256,1.314048,3126.0,3126,0,51,0,1,509,44,2520,53
1775206922.5160666,8280,415232,3.321856,8280.0,8280,0,166,0,1,677,63,7500,40
1775206923.5160666,1087,75136,0.601088,1087.0,1087,0,21,0,0,967,54,0,66
1775206924.5160666,1219,82720,0.66176,1219.0,1219,0,26,0,0,1126,54,0,39
1775206925.5160666,1450,97696,0.781568,1450.0,1450,0,28,0,0,1354,57,0,39
1775206926.5160666,1638,109920,0.87936,1638.0,1638,0,33,0,0,1531,52,0,55
1775206927.5160666,1864,124800,0.9984,1864.0,1864,0,41,0,0,1756,64,0,44
1775206928.5160666,2034,135104,1.080832,2034.0,2034,0,29,0,0,1931,51,0,52
1775206929.5160666,2277,150656,1.205248,2277.0,2277,0,51,0,0,2182,59,0,36
1775206930.5160666,2155,143008,1.144064,2155.0,2155,0,45,0,0,2048,52,0,55
1775206931.5160666,1840,122688,0.981504,1840.0,1840,0,36,0,0,1742,56,0,42
1775206932.5160666,1673,112320,0.89856,1673.0,1673,0,35,0,0,1566,57,0,50
1775206933.5160666,1510,102112,0.816896,1510.0,1510,0,18,0,0,1404,65,0,41
1775206934.5160666,1268,86400,0.6912,1268.0,1268,0,24,0,0,1163,59,0,46
1775206935.5160666,1066,73216,0.585728,1066.0,1066,0,15,0,0,967,57,0,42
1775206936.5160666,883,61728,0.493824,883.0,883,0,15,0,0,776,56,0,51
1775206937.5160666,681,48928,0.391424,681.0,681,0,15,0,0,573,59,0,49
1775206938.5160666,497,36896,0.295168,497.0,497,0,8,0,0,399,61,0,37
1775206939.5160666,293,23616,0.188928,293.0,293,0,13,0,0,192,51,0,50
1775206940.5160666,303,25248,0.201984,303.0,303,0,5,0,0,190,70,0,43
1775206941.5160666,286,23648,0.189184,286.0,286,0,4,0,0,178,59,0,49
1775206942.5160666,273,21760,0.17408,273.0,273,0,2,0,0,178,39,0,56
1775206943.5160666,307,24864,0.198912,307.0,307,0,5,0,0,203,59,0,45
1775206944.5160666,318,26496,0.211968,318.0,318,0,3,0,0,193,67,0,58
1775206945.5160666,341,30912,0.247296,341.0,341,0,10,0,0,176,119,0,46
1775206946.5160666,400,37952,0.303616,400.0,400,0,4,0,0,183,169,0,48
1775206947.5160666,519,49376,0.395008,519.0,519,0,8,0,0,246,232,0,41
1775206948.5160666,656,63264,0.506112,656.0,656,0,12,0,0,296,305,0,55
1775206949.5160666,743,69888,0.559104,743.0,743,0,14,0,0,366,321,0,56
1775206950.5160666,931,87296,0.698368,931.0,931,0,11,0,0,474,409,0,48
1775206951.5160666,1129,105024,0.840192,1129.0,1129,0,29,0,0,589,484,0,56
1775206952.5160666,1277,115744,0.925952,1277.0,1277,0,24,0,0,719,505,0,53
1775206953.5160666,1431,129088,1.032704,1431.0,1431,0,26,0,0,825,566,0,40
1775206954.5160666,1670,148416,1.187328,1670.0,1670,0,47,0,0,992,620,0,58
1775206955.5160666,1934,168512,1.348096,1934.0,1934,0,46,0,0,1211,675,0,48
1775206956.5160666,1994,169408,1.355264,1994.0,1994,0,38,0,0,1323,635,0,36
1775206957.5160666,2112,176736,1.413888,2112.0,2112,0,35,0,0,1440,627,0,45
1775206958.5160666,2163,179840,1.43872,2163.0,2163,0,51,0,0,1490,621,0,52
1775206959.5160666,2267,189792,1.518336,2267.0,2267,0,46,0,0,1546,676,0,45
1775206960.5160666,2237,186720,1.49376,2237.0,2237,0,47,0,0,1536,660,0,41
1775206961.5160666,2165,179744,1.437952,2165.0,2165,0,39,0,0,1500,622,0,43
1775206962.5160666,2109,175584,1.404672,2109.0,2109,0,37,0,0,1453,613,0,43
1775206963.5160666,2094,175328,1.402624,2094.0,2094,0,42,0,0,1422,619,0,53
1775206964.5160666,1998,173984,1.391872,1998.0,1998,0,48,0,0,1248,691,0,59
1775206965.5160666,1707,149440,1.19552,1707.0,1707,0,38,0,0,1060,609,0,38
1775206966.5160666,1417,124416,0.995328,1417.0,1417,0,31,0,0,874,511,0,32
1775206967.5160666,1293,117024,0.936192,1293.0,1293,0,20,0,0,734,512,0,47
1775206968.5160666,1075,97216,0.777728,1075.0,1075,0,26,0,0,611,424,0,40
1775206969.5160666,920,84768,0.678144,920.0,920,0,15,0,0,498,387,0,35
1775206970.5160666,825,75520,0.60416,825.0,825,0,18,0,0,442,327,0,56
1775206971.5160666,701,63040,0.50432,701.0,701,0,13,0,0,393,260,0,48
1775206972.5160666,598,54400,0.4352,598.0,598,1,22,0,0,320,226,0,52
1775206973.5160666,527,45920,0.36736,527.0,527,0,14,0,0,313,167,0,47
1775206974.5160666,467,37472,0.299776,467.0,467,0,8,0,0,331,101,0,35
1775206975.5160666,469,39648,0.317184,469.0,469,0,7,0,0,291,123,0,55
1775206976.5160666,504,42272,0.338176,504.0,504,0,10,0,0,318,127,0,59
1775206977.5160666,507,40896,0.327168,507.0,507,0,9,0,0,351,108,0,48
1775206978.5160666,556,43808,0.350464,556.0,556,0,11,0,0,403,104,0,49
1775206979.5160666,636,50624,0.404992,636.0,636,0,12,0,0,455,129,0,52
1775206980.5160666,704,53312,0.426496,704.0,704,0,11,0,0,552,106,0,46
1775206981.5160666,795,60064,0.480512,795.0,795,0,10,0,0,628,120,0,47
1775206982.5160666,867,63616,0.508928,867.0,867,0,13,0,0,713,100,0,54
1775206983.5160666,1035,75328,0.602624,1035.0,1035,0,24,0,0,867,116,0,52
1775206984.5160666,1071,77504,0.620032,1071.0,1071,0,16,0,0,905,114,0,52
1775206985.5160666,1213,86496,0.691968,1213.0,1213,0,18,0,0,1052,116,0,45
1775206986.5160666,1228,87392,0.699136,1228.0,1228,0,18,0,0,1066,113,0,49
1775206987.5160666,1334,93248,0.745984,1334.0,1334,0,31,0,0,1188,100,0,46
1775206988.5160666,1392,97312,0.778496,1392.0,1392,0,20,0,0,1239,104,0,49
1775206989.5160666,1453,102272,0.818176,1453.0,1453,0,23,0,0,1279,116,0,58
1775206990.5160666,1491,105280,0.84224,1491.0,1491,0,17,0,0,1308,125,0,58
1775206991.5160666,1452,101696,0.813568,1452.0,1452,0,25,0,0,1290,112,0,50
1775206992.5160666,1429,100128,0.801024,1429.0,1429,0,28,0,0,1269,111,0,49
1775206993.5160666,1395,99328,0.794624,1395.0,1395,0,36,0,0,1216,135,0,44
1775206994.5160666,1382,97888,0.783104,1382.0,1382,0,28,0,0,1207,120,0,55
1775206995.5160666,1176,83040,0.66432,1176.0,1176,0,15,0,0,1027,94,0,55
1775206996.5160666,1120,81920,0.65536,1120.0,1120,0,22,0,0,937,137,0,46
1775206997.5160666,1027,74176,0.593408,1027.0,1027,0,23,0,0,870,107,0,50
1775206998.5160666,958,71904,0.575232,958.0,958,0,26,0,0,772,145,0,41
1775206999.5160666,846,63936,0.511488,846.0,846,0,18,0,0,671,131,0,44
1775207000.5160666,823,64736,0.517888,823.0,823,0,20,0,0,597,151,0,75
1775207001.5160666,791,63776,0.510208,791.0,791,0,24,0,0,540,160,0,91
1775207002.5160666,795,66848,0.534784,795.0,795,0,17,0,0,487,191,0,117
1775207003.5160666,810,68640,0.54912,810.0,810,0,15,0,0,474,189,0,147
1775207004.5160666,807,69280,0.55424,807.0,807,0,16,0,0,441,185,0,181
