ip,seq,latency_ms,recv,lost
10.45.0.29,0,16.99,1,0
10.45.0.30,0,21.26,1,0
10.45.0.31,0,19.02,1,0
10.45.0.32,0,11.64,1,0
10.45.0.30,1,15.10,2,0
10.45.0.32,1,13.49,2,0
10.45.0.33,0,18.13,1,0
10.45.0.30,2,9.74,3,0
10.45.0.32,2,12.58,3,0
10.45.0.29,1,9.85,2,0
10.45.0.33,1,2.85,2,0
10.45.0.30,3,0.80,4,0
10.45.0.33,2,0.65,3,0
10.45.0.29,2,0.84,3,0
10.45.0.31,1,0.77,2,0
10.45.0.29,3,0.73,4,0
10.45.0.31,2,2.21,3,0
10.45.0.30,4,0.85,5,0
10.45.0.32,3,0.76,4,0
10.45.0.30,5,1.75,6,0
10.45.0.30,6,4.52,7,0
10.45.0.33,3,0.77,4,0
10.45.0.32,4,3.12,5,0
10.45.0.30,7,1.16,8,0
10.45.0.32,5,0.87,6,0
10.45.0.29,4,0.81,5,0
10.45.0.31,3,1.27,4,0
10.45.0.29,5,0.71,6,0
10.45.0.32,6,0.71,7,0
10.45.0.31,4,1.52,5,0
10.45.0.31,5,1.57,6,0
10.45.0.33,4,4.06,5,0
10.45.0.33,5,0.85,6,0
10.45.0.29,6,0.76,7,0
10.45.0.33,6,1.04,7,0
10.45.0.29,7,1.83,8,0
10.45.0.32,7,5.78,8,0
10.45.0.31,6,0.98,7,0
10.45.0.32,8,0.68,9,0
10.45.0.31,7,2.09,8,0
10.45.0.30,8,2.09,9,0
10.45.0.32,9,0.78,10,0
10.45.0.29,8,5.29,9,0
10.45.0.29,9,0.86,10,0
10.45.0.29,10,2.04,11,0
10.45.0.31,8,5.70,9,0
10.45.0.32,10,0.59,11,0
10.45.0.29,11,2.47,12,0
10.45.0.33,7,2.72,8,0
10.45.0.32,11,8.84,12,0
10.45.0.33,8,0.83,9,0
10.45.0.30,9,3.99,10,0
10.45.0.30,10,1.05,11,0
10.45.0.29,12,1.02,13,0
10.45.0.29,13,2.11,14,0
10.45.0.32,12,0.95,13,0
10.45.0.32,13,1.74,14,0
10.45.0.29,14,1.49,15,0
10.45.0.33,9,1.12,10,0
10.45.0.29,15,0.80,16,0
10.45.0.32,14,0.59,15,0
10.45.0.29,16,3.38,17,0
10.45.0.31,9,6.75,10,0
10.45.0.33,10,5.24,11,0
10.45.0.29,17,5.26,18,0
10.45.0.33,11,0.74,12,0
10.45.0.33,12,2.80,13,0
10.45.0.32,15,0.77,16,0
10.45.0.31,10,0.69,11,0
10.45.0.30,11,1.44,12,0
10.45.0.31,11,1.98,12,0
10.45.0.29,18,1.80,19,0
10.45.0.29,19,1.07,20,0
10.45.0.29,20,0.98,21,0
10.45.0.33,13,1.19,14,0
10.45.0.32,16,1.12,17,0
10.45.0.30,12,1.06,13,0
10.45.0.33,14,0.93,15,0
10.45.0.33,15,0.96,16,0
10.45.0.29,21,1.62,22,0
10.45.0.32,17,0.95,18,0
