ip,seq,latency_ms,recv,lost
10.45.0.2,0,1.63,1,0
10.45.0.3,0,0.97,1,0
10.45.0.4,0,0.62,1,0
10.45.0.5,0,0.62,1,0
10.45.0.6,0,0.51,1,0
10.45.0.5,1,1.22,2,0
10.45.0.6,1,1.45,2,0
10.45.0.5,2,1.60,3,0
10.45.0.6,2,1.36,3,0
10.45.0.2,1,0.83,2,0
10.45.0.5,3,9.06,4,0
10.45.0.2,2,3.37,3,0
10.45.0.5,4,0.70,5,0
10.45.0.5,5,1.07,6,0
10.45.0.6,3,1.08,4,0
10.45.0.6,4,1.09,5,0
10.45.0.6,5,0.99,6,0
10.45.0.2,3,0.76,4,0
10.45.0.4,1,0.72,2,0
10.45.0.3,1,0.65,2,0
10.45.0.4,2,0.77,3,0
10.45.0.2,4,0.78,5,0
10.45.0.5,6,0.92,7,0
10.45.0.6,6,1.08,7,0
10.45.0.5,7,1.01,8,0
10.45.0.2,5,0.80,6,0
10.45.0.6,7,0.74,8,0
10.45.0.6,8,0.75,9,0
10.45.0.2,6,0.44,7,0
10.45.0.3,2,0.59,3,0
10.45.0.2,7,0.61,8,0
10.45.0.4,3,0.46,4,0
10.45.0.6,9,0.48,10,0
10.45.0.4,4,0.55,5,0
10.45.0.6,10,0.48,11,0
10.45.0.3,3,0.60,4,0
10.45.0.2,8,0.29,9,0
10.45.0.6,11,0.56,12,0
10.45.0.4,5,0.49,6,0
10.45.0.2,9,0.36,10,0
10.45.0.2,10,0.44,11,0
10.45.0.2,11,0.61,12,0
10.45.0.3,4,0.89,5,0
10.45.0.5,8,0.70,9,0
10.45.0.4,6,0.53,7,0
10.45.0.2,12,0.73,13,0
10.45.0.3,5,0.56,6,0
10.45.0.5,9,0.59,10,0
10.45.0.2,13,0.62,14,0
10.45.0.6,12,0.47,13,0
10.45.0.3,6,0.66,7,0
10.45.0.5,10,0.77,11,0
10.45.0.2,14,0.50,15,0
10.45.0.5,11,0.50,12,0
10.45.0.5,12,0.59,13,0
10.45.0.6,13,0.63,14,0
10.45.0.4,7,0.82,8,0
10.45.0.3,7,0.59,8,0
10.45.0.2,15,0.88,16,0
10.45.0.2,16,0.60,17,0
10.45.0.3,8,0.87,9,0
10.45.0.3,9,0.95,10,0
10.45.0.4,8,0.79,9,0
10.45.0.3,10,1.32,11,0
10.45.0.4,9,1.02,10,0
10.45.0.4,10,1.01,11,0
10.45.0.5,13,1.02,14,0
10.45.0.6,14,0.79,15,0
10.45.0.6,15,0.63,16,0
10.45.0.6,16,0.78,17,0
10.45.0.4,11,0.55,12,0
10.45.0.2,17,0.59,18,0
10.45.0.4,12,0.83,13,0
10.45.0.2,18,1.06,19,0
10.45.0.3,11,0.84,12,0
10.45.0.6,17,1.30,18,0
10.45.0.5,14,0.92,15,0
10.45.0.2,19,0.93,20,0
10.45.0.3,12,1.67,13,0
10.45.0.6,18,1.12,19,0
10.45.0.3,13,1.36,14,0
10.45.0.4,13,1.07,14,0
10.45.0.2,20,0.74,21,0
10.45.0.5,15,1.28,16,0
10.45.0.3,14,0.63,15,0
10.45.0.6,19,0.89,20,0
10.45.0.4,14,1.04,15,0
10.45.0.2,21,0.78,22,0
10.45.0.6,20,0.56,21,0
10.45.0.4,15,0.52,16,0
10.45.0.4,16,0.84,17,0
10.45.0.2,22,0.58,23,0
10.45.0.5,16,1.08,17,0
10.45.0.3,15,1.73,16,0
10.45.0.3,16,1.07,17,0
10.45.0.6,21,1.25,22,0
10.45.0.6,22,1.34,23,0
10.45.0.2,23,1.12,24,0
10.45.0.4,17,1.23,18,0
10.45.0.4,18,1.37,19,0
10.45.0.6,23,1.17,24,0
10.45.0.6,24,1.12,25,0
10.45.0.5,17,1.23,18,0
10.45.0.4,19,0.63,20,0
10.45.0.3,17,1.13,18,0
10.45.0.6,25,0.86,26,0
10.45.0.2,24,1.06,25,0
10.45.0.5,18,0.79,19,0
10.45.0.3,18,0.82,19,0
10.45.0.5,19,0.95,20,0
10.45.0.5,20,0.99,21,0
10.45.0.5,21,1.01,22,0
10.45.0.4,20,0.91,21,0
10.45.0.6,26,1.49,27,0
10.45.0.5,22,1.30,23,0
10.45.0.4,21,0.86,22,0
10.45.0.5,23,1.06,24,0
10.45.0.4,22,1.06,23,0
10.45.0.5,24,0.99,25,0
10.45.0.2,25,1.03,26,0
10.45.0.4,23,1.38,24,0
10.45.0.4,24,1.13,25,0
10.45.0.3,19,0.85,20,0
10.45.0.5,25,1.22,26,0
10.45.0.2,26,1.24,27,0
10.45.0.2,27,1.62,28,0
10.45.0.4,25,1.18,26,0
10.45.0.4,26,1.67,27,0
10.45.0.3,20,1.19,21,0
10.45.0.6,27,1.17,28,0
10.45.0.6,28,1.55,29,0
10.45.0.3,21,1.66,22,0
10.45.0.3,22,1.09,23,0
10.45.0.3,23,1.41,24,0
10.45.0.3,24,0.94,25,0
10.45.0.5,26,0.90,27,0
10.45.0.3,25,0.39,26,0
10.45.0.2,28,0.66,29,0
10.45.0.2,29,1.13,30,0
10.45.0.5,27,0.64,28,0
10.45.0.5,28,0.98,29,0
10.45.0.2,30,1.00,31,0
10.45.0.4,27,0.80,28,0
10.45.0.2,31,0.61,32,0
10.45.0.6,29,0.63,30,0
10.45.0.5,29,0.54,30,0
10.45.0.3,26,0.49,27,0
10.45.0.5,30,11.16,31,0
10.45.0.2,32,0.47,33,0
10.45.0.5,31,0.64,32,0
10.45.0.5,32,1.09,33,0
10.45.0.3,27,0.71,28,0
10.45.0.5,33,0.64,34,0
10.45.0.5,34,0.66,35,0
10.45.0.4,28,0.49,29,0
10.45.0.6,30,0.69,31,0
10.45.0.3,28,0.71,29,0
10.45.0.3,29,1.13,30,0
10.45.0.4,29,0.77,30,0
10.45.0.3,30,0.65,31,0
10.45.0.2,33,0.73,34,0
10.45.0.4,30,0.61,31,0
10.45.0.4,31,0.94,32,0
10.45.0.5,35,0.71,36,0
10.45.0.5,36,0.90,37,0
10.45.0.3,31,0.86,32,0
10.45.0.6,31,0.96,32,0
10.45.0.6,32,0.72,33,0
10.45.0.5,37,0.97,38,0
10.45.0.3,32,0.74,33,0
10.45.0.2,34,0.82,35,0
10.45.0.3,33,0.91,34,0
10.45.0.5,38,0.52,39,0
10.45.0.4,32,0.54,33,0
10.45.0.3,34,0.76,35,0
10.45.0.3,35,1.06,36,0
10.45.0.4,33,1.26,34,0
10.45.0.3,36,0.91,37,0
10.45.0.2,35,1.29,36,0
10.45.0.5,39,1.20,40,0
10.45.0.2,36,1.41,37,0
10.45.0.6,33,0.86,34,0
10.45.0.6,34,1.02,35,0
10.45.0.2,37,1.47,38,0
10.45.0.3,37,1.47,38,0
10.45.0.2,38,0.67,39,0
10.45.0.2,39,4.40,40,0
10.45.0.5,40,0.45,41,0
10.45.0.6,35,6.47,36,0
10.45.0.6,36,0.40,37,0
10.45.0.2,40,0.61,41,0
10.45.0.4,34,3.11,35,0
10.45.0.4,35,1.18,36,0
10.45.0.3,38,5.15,39,0
10.45.0.2,41,7.73,42,0
10.45.0.2,42,0.71,43,0
10.45.0.4,36,0.80,37,0
10.45.0.3,39,0.74,40,0
10.45.0.4,37,1.37,38,0
10.45.0.3,40,0.50,41,0
10.45.0.2,43,0.72,44,0
10.45.0.4,38,0.51,39,0
10.45.0.5,41,0.56,42,0
10.45.0.6,37,1.51,38,0
10.45.0.5,42,1.34,43,0
10.45.0.4,39,5.00,40,0
10.45.0.5,43,0.74,44,0
10.45.0.4,40,0.59,41,0
10.45.0.5,44,0.56,45,0
10.45.0.5,45,1.22,46,0
10.45.0.5,46,1.09,47,0
10.45.0.6,38,1.11,39,0
10.45.0.5,47,4.39,48,0
10.45.0.5,48,9.16,49,0
10.45.0.6,39,1.81,40,0
10.45.0.3,41,0.81,42,0
10.45.0.5,49,0.59,50,0
10.45.0.2,44,0.61,45,0
10.45.0.6,40,0.41,41,0
10.45.0.5,50,1.03,51,0
10.45.0.5,51,1.84,52,0
10.45.0.5,52,3.20,53,0
10.45.0.4,41,4.17,42,0
10.45.0.5,53,0.57,54,0
10.45.0.3,42,0.71,43,0
10.45.0.6,41,0.46,42,0
10.45.0.4,42,9.55,43,0
10.45.0.3,43,1.97,44,0
10.45.0.3,44,16.07,45,0
10.45.0.5,54,1.30,55,0
10.45.0.3,45,0.98,46,0
10.45.0.2,45,1.25,46,0
10.45.0.6,42,1.09,43,0
10.45.0.4,43,5.53,44,0
10.45.0.2,46,6.60,47,0
10.45.0.4,44,2.60,45,0
10.45.0.4,45,1.16,46,0
10.45.0.5,55,1.24,56,0
10.45.0.3,46,1.23,47,0
10.45.0.3,47,1.65,48,0
10.45.0.4,46,1.74,47,0
10.45.0.6,43,2.02,44,0
10.45.0.2,47,9.36,48,0
10.45.0.2,48,3.54,49,0
10.45.0.5,56,1.55,57,0
10.45.0.2,49,1.13,50,0
10.45.0.3,48,0.87,49,0
10.45.0.4,47,0.75,48,0
10.45.0.6,44,0.91,45,0
10.45.0.4,48,1.04,49,0
10.45.0.3,49,1.54,50,0
10.45.0.3,50,0.73,51,0
10.45.0.4,49,1.20,50,0
10.45.0.3,51,1.10,52,0
10.45.0.2,50,0.85,51,0
10.45.0.6,45,0.74,46,0
10.45.0.6,46,0.61,47,0
10.45.0.6,47,0.60,48,0
10.45.0.2,51,0.58,52,0
10.45.0.2,52,0.78,53,0
10.45.0.4,50,0.64,51,0
10.45.0.6,48,0.63,49,0
10.45.0.2,53,0.55,54,0
10.45.0.3,52,1.02,53,0
10.45.0.5,57,0.43,58,0
10.45.0.6,49,0.63,50,0
10.45.0.6,50,0.65,51,0
10.45.0.6,51,0.81,52,0
10.45.0.2,54,0.57,55,0
10.45.0.3,53,0.67,54,0
10.45.0.2,55,0.72,56,0
10.45.0.2,56,0.76,57,0
10.45.0.4,51,0.78,52,0
10.45.0.5,58,0.66,59,0
10.45.0.4,52,0.83,53,0
10.45.0.2,57,0.94,58,0
10.45.0.2,58,1.03,59,0
10.45.0.6,52,0.74,53,0
10.45.0.3,54,0.88,55,0
10.45.0.5,59,0.46,60,0
10.45.0.3,55,1.28,56,0
10.45.0.2,59,0.98,60,0
10.45.0.5,60,1.06,61,0
10.45.0.2,60,1.29,61,0
10.45.0.4,53,0.49,54,0
10.45.0.2,61,0.45,62,0
10.45.0.3,56,0.55,57,0
10.45.0.5,61,0.56,62,0
10.45.0.2,62,0.74,63,0
10.45.0.2,63,0.60,64,0
10.45.0.5,62,0.52,63,0
10.45.0.6,53,0.51,54,0
10.45.0.5,63,0.69,64,0
10.45.0.6,54,0.51,55,0
10.45.0.6,55,0.90,56,0
10.45.0.5,64,0.89,65,0
10.45.0.5,65,0.54,66,0
10.45.0.2,64,0.72,65,0
10.45.0.3,57,3.14,58,0
10.45.0.4,54,6.82,55,0
10.45.0.4,55,3.27,56,0
10.45.0.3,58,3.27,59,0
10.45.0.3,59,0.63,60,0
10.45.0.6,56,0.49,57,0
10.45.0.6,57,0.35,58,0
10.45.0.6,58,1.17,59,0
10.45.0.4,56,1.58,57,0
10.45.0.3,60,4.06,61,0
10.45.0.3,61,0.68,62,0
10.45.0.2,65,1.60,66,0
10.45.0.5,66,1.23,67,0
10.45.0.4,57,0.82,58,0
10.45.0.5,67,3.59,68,0
10.45.0.4,58,3.97,59,0
10.45.0.5,68,0.77,69,0
10.45.0.5,69,1.48,70,0
10.45.0.4,59,5.85,60,0
10.45.0.5,70,1.50,71,0
10.45.0.3,62,0.74,63,0
10.45.0.5,71,1.22,72,0
10.45.0.3,63,0.62,64,0
10.45.0.5,72,0.66,73,0
10.45.0.6,59,1.42,60,0
10.45.0.5,73,7.09,74,0
10.45.0.5,74,1.40,75,0
10.45.0.6,60,4.00,61,0
10.45.0.5,75,1.47,76,0
10.45.0.2,66,6.56,67,0
10.45.0.6,61,4.28,62,0
10.45.0.2,67,0.72,68,0
10.45.0.4,60,2.95,61,0
10.45.0.5,76,2.41,77,0
10.45.0.2,68,0.54,69,0
10.45.0.3,64,0.71,65,0
10.45.0.2,69,1.28,70,0
10.45.0.6,62,2.49,63,0
10.45.0.5,77,3.97,78,0
10.45.0.4,61,0.89,62,0
10.45.0.3,65,0.68,66,0
10.45.0.6,63,0.72,64,0
10.45.0.5,78,1.25,79,0
10.45.0.3,66,3.54,67,0
10.45.0.5,79,4.01,80,0
10.45.0.2,70,0.34,71,0
10.45.0.3,67,3.41,68,0
10.45.0.6,64,0.83,65,0
10.45.0.3,68,1.28,69,0
10.45.0.6,65,1.03,66,0
10.45.0.5,80,1.11,81,0
10.45.0.5,81,0.90,82,0
10.45.0.6,66,1.02,67,0
10.45.0.5,82,0.92,83,0
10.45.0.4,62,0.55,63,0
10.45.0.6,67,0.94,68,0
10.45.0.2,71,0.65,72,0
10.45.0.4,63,1.00,64,0
10.45.0.6,68,0.60,69,0
10.45.0.4,64,0.59,65,0
10.45.0.6,69,0.88,70,0
10.45.0.2,72,0.62,73,0
10.45.0.5,83,0.97,84,0
10.45.0.5,84,0.79,85,0
10.45.0.3,69,1.00,70,0
10.45.0.5,85,1.28,86,0
10.45.0.2,73,0.96,74,0
10.45.0.5,86,1.11,87,0
10.45.0.4,65,0.80,66,0
10.45.0.6,70,1.08,71,0
10.45.0.3,70,7.02,71,0
10.45.0.3,71,1.52,72,0
10.45.0.2,74,4.58,75,0
10.45.0.5,87,1.60,88,0
10.45.0.5,88,1.59,89,0
10.45.0.4,66,1.47,67,0
10.45.0.6,71,0.95,72,0
10.45.0.2,75,0.66,76,0
10.45.0.2,76,0.89,77,0
10.45.0.2,77,1.29,78,0
10.45.0.2,78,1.09,79,0
10.45.0.2,79,1.02,80,0
10.45.0.3,72,1.52,73,0
10.45.0.4,67,1.27,68,0
10.45.0.3,73,1.15,74,0
10.45.0.3,74,0.87,75,0
10.45.0.4,68,0.89,69,0
10.45.0.3,75,0.91,76,0
10.45.0.4,69,0.85,70,0
10.45.0.5,89,0.59,90,0
10.45.0.2,80,0.70,81,0
10.45.0.5,90,0.76,91,0
10.45.0.6,72,0.54,73,0
10.45.0.2,81,0.63,82,0
10.45.0.6,73,0.33,74,0
10.45.0.3,76,1.27,77,0
10.45.0.3,77,1.09,78,0
10.45.0.3,78,1.10,79,0
10.45.0.6,74,0.84,75,0
10.45.0.3,79,0.83,80,0
10.45.0.4,70,0.85,71,0
10.45.0.3,80,0.68,81,0
10.45.0.2,82,0.77,83,0
