ip,seq,latency_ms,recv,lost
10.45.0.7,0,0.87,1,0
10.45.0.9,0,0.73,1,0
10.45.0.8,0,1.27,1,0
10.45.0.10,0,0.83,1,0
10.45.0.11,0,0.75,1,0
10.45.0.10,1,0.79,2,0
10.45.0.9,1,6.24,2,0
10.45.0.8,1,0.69,2,0
10.45.0.11,1,0.76,2,0
10.45.0.8,2,1.24,3,0
10.45.0.10,2,1.11,3,0
10.45.0.9,2,1.26,3,0
10.45.0.9,3,1.22,4,0
10.45.0.10,3,4.67,4,0
10.45.0.9,4,1.13,5,0
10.45.0.10,4,1.14,5,0
10.45.0.9,5,1.25,6,0
10.45.0.7,1,1.39,2,0
10.45.0.8,3,2.37,4,0
10.45.0.9,6,1.11,7,0
10.45.0.9,7,1.00,8,0
10.45.0.10,5,5.36,6,0
10.45.0.7,2,3.74,3,0
10.45.0.11,2,3.71,3,0
10.45.0.11,3,7.69,4,0
10.45.0.11,4,2.27,5,0
10.45.0.10,6,4.39,7,0
10.45.0.7,3,2.26,4,0
10.45.0.11,5,2.58,6,0
10.45.0.8,4,1.18,5,0
10.45.0.7,4,5.30,5,0
10.45.0.9,8,2.21,9,0
10.45.0.11,6,2.28,7,0
10.45.0.8,5,3.42,6,0
10.45.0.8,6,2.42,7,0
10.45.0.8,7,1.48,8,0
10.45.0.9,9,1.40,10,0
10.45.0.11,7,1.34,8,0
10.45.0.10,7,0.82,8,0
10.45.0.11,8,0.75,9,0
10.45.0.8,8,0.69,9,0
10.45.0.11,9,0.57,10,0
10.45.0.8,9,2.41,10,0
10.45.0.7,5,0.62,6,0
10.45.0.8,10,0.65,11,0
10.45.0.9,10,0.45,11,0
10.45.0.10,8,11.83,9,0
10.45.0.11,10,0.81,11,0
10.45.0.11,11,0.80,12,0
10.45.0.7,6,1.06,7,0
10.45.0.7,7,0.99,8,0
10.45.0.8,11,1.10,12,0
10.45.0.11,12,1.12,13,0
10.45.0.11,13,1.91,14,0
10.45.0.9,11,1.33,12,0
10.45.0.7,8,1.78,9,0
10.45.0.10,9,1.30,10,0
10.45.0.10,10,1.87,11,0
10.45.0.10,11,1.40,12,0
10.45.0.8,12,1.82,13,0
10.45.0.9,12,1.23,13,0
10.45.0.11,14,1.93,15,0
10.45.0.9,13,3.25,14,0
10.45.0.11,15,4.81,16,0
10.45.0.9,14,4.29,15,0
10.45.0.7,9,1.69,10,0
10.45.0.8,13,4.32,14,0
10.45.0.11,16,5.40,17,0
10.45.0.8,14,4.62,15,0
10.45.0.11,17,3.68,18,0
